value,time
198,41
196,41
193,42
194,43
190,44
208,45
203,46
208,47
202,48
206,49
200,50
198,51
197,52
201,53
194,54
200,55
189,56
194,57
223,58
214,59
209,60
202,61
207,62
203,63
198,64
195,65
206,66
192,67
199,68
196,69
204,70
219,71
213,72
212,73
206,74
208,75
194,76
203,77
194,78
198,79
201,80
0,81
195,82
198,83
222,84
211,85
214,86
208,87
195,88
203,89
202,90
202,91
197,92
197,93
195,94
193,95
199,96
213,97
206,98
208,99
207,100
201,101
200,102
199,103
195,104
198,105
203,106
201,107
199,108
195,109
219,110
214,111
215,112
208,113
199,114
201,115
203,116
192,117
194,118
198,119
193,120
196,121
205,122
218,123
223,124
208,125
195,126
195,127
198,128
192,129
185,131
199,131
193,132
202,133
190,134
203,135
221,136
231,137
215,138
206,139
227,140
197,141
198,142
198,143
196,144
194,145
202,146
181,147
186,148
218,149
223,150
208,151
208,152
203,153
198,154
194,155
202,156
198,157
196,158
197,159
227,160
196,161
237,162
211,163
207,164
207,165
198,166
203,167
197,168
196,169
195,170
197,171
201,172
191,173
195,174
221,175
210,176
219,177
193,178
192,179
194,180
193,181
191,182
193,183
198,184
195,185
205,186
189,187
226,188
208,189
247,190
211,191
218,192
201,193
202,194
214,195
191,196
228,197
187,198
193,199
189,200
208,201
213,202
218,203
207,204
236,205
217,206
189,207
204,208
201,209
214,210
200,211
194,212
196,213
221,214
209,215
208,216
202,217
202,218
202,219
202,220
197,221
201,222
187,223
195,224
195,225
191,226
222,227
209,228
204,229
197,231
187,231
208,232
197,233
222,234
203,235
182,236
192,237
192,238
193,239
201,240
208,241
236,242
192,243
192,244
183,245
192,246
197,247
190,248
192,249
192,250
194,251
192,252
213,253
203,254
199,255
192,256
189,257
181,258
186,259
181,260
179,261
185,262
182,263
179,264
177,265
208,266
194,267
192,268
186,269
183,270
178,271
182,272
181,273
182,274
182,275
178,276
175,277
177,278
203,279
205,280
191,281
183,282
183,283
178,284
177,285
178,286
177,287
178,288
178,289
176,290
176,291
207,292
193,293
191,294
181,295
180,296
179,297
178,298
177,299
181,300
179,301
178,302
182,303
177,304
208,305
207,306
192,307
188,308
177,309
176,310
182,311
178,312
174,313
178,314
179,315
176,316
181,317
196,318
191,319
190,320
179,321
183,322
179,323
177,324
177,325
176,326
176,327
178,328
179,329
183,331
201,331
215,332
190,333
184,334
177,335
176,336
181,337
179,338
177,339
176,340
181,341
173,342
176,343
199,344
222,345
190,346
185,347
185,348
176,349
178,350
173,351
180,352
174,353
176,354
179,355
178,356
195,357
201,358
190,359
186,360
177,361
181,362
174,363
177,364
176,365
176,366
176,367
176,368
102,369
195,370
159,371
192,372
183,373
180,374
176,375
179,376
169,377
174,378
176,379
173,380
176,381
176,382
164,383
205,384
180,385
182,386
176,387
174,388
177,389
182,390
176,391
174,392
171,393
158,394
176,395
182,396
195,397
189,398
189,399
176,400
173,401
178,402
177,403
176,404
177,405
176,406
162,407
177,408
208,409
206,410
187,411
181,412
181,413
173,414
177,415
176,416
178,417
173,418
176,419
176,420
174,421
195,422
192,423
191,424
185,425
179,426
176,427
176,428
176,429
185,431
176,431
183,432
170,433
199,434
175,435
195,436
190,437
173,438
166,439
195,440
176,441
210,442
208,443
167,444
176,445
177,446
176,447
202,448
195,449
169,450
214,451
176,452
169,453
192,454
165,455
182,456
177,457
165,458
176,459
183,460
199,461
191,462
193,463
168,464
181,465
174,466
179,467
176,468
180,469
183,470
176,471
179,472
177,473
203,474
192,475
199,476
175,477
178,478
178,479
0,480
161,481
178,482
173,483
161,484
177,485
177,486
207,487
194,488
210,489
185,490
165,491
182,492
181,493
176,494
181,495
176,496
173,497
176,498
176,499
199,500
192,501
187,502
185,503
181,504
178,505
178,506
176,507
177,508
176,509
176,510
176,511
177,512
203,513
199,514
189,515
181,516
181,517
177,518
178,519
176,520
176,521
175,522
176,523
176,524
176,525
205,526
199,527
192,528
181,529
177,531
178,531
178,532
176,533
177,534
176,535
176,536
177,537
171,538
201,539
201,540
190,541
179,542
177,543
176,544
176,545
176,546
179,547
176,548
178,549
178,550
178,551
201,552
177,553
192,554
181,555
177,556
177,557
182,558
176,559
176,560
175,561
176,562
179,563
173,564
206,565
197,566
191,567
181,568
181,569
177,570
185,571
171,572
176,573
176,574
180,575
178,576
175,577
193,578
189,579
189,580
178,581
176,582
176,583
176,584
177,585
176,586
176,587
171,588
176,589
174,590
200,591
176,592
191,593
181,594
179,595
176,596
179,597
176,598
178,599
176,600
176,601
178,602
171,603
208,604
194,605
188,606
186,607
175,608
182,609
176,610
173,611
183,612
176,613
176,614
179,615
180,616
202,617
193,618
192,619
183,620
178,621
180,622
178,623
184,624
176,625
177,626
186,627
176,628
179,629
176,630
195,631
193,632
189,633
178,634
176,635
176,636
178,637
175,638
179,639
176,640
176,641
175,642
189,643
188,644
183,645
180,646
176,647
